Song,Album,Genres,Year,Rank
"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",Where I Wanna Be,"['hip pop', 'contemporary r&b', 'urban contemporary', 'r&b']",2000,65
Faded,No One Does It Better,"['boy band', 'canadian pop']",2000,66
Only God Knows Why,Devil Without a Cause,['nu metal'],2000,67
Shake Ya Ass,Let's Get Ready,"['gangster rap', 'new orleans rap', 'crunk', 'dirty south rap']",2000,68
Bag Lady,Mama's Gun,"['soul', 'afrofuturism', 'alternative r&b', 'neo soul', 'r&b']",2000,69
Meet Virginia,Train,"['neo mellow', 'pop rock', 'dance pop', 'pop']",2000,70
Party Up (Up In Here),How High - The Soundtrack,"['gangster rap', 'east coast hip hop', 'hardcore hip hop', 'rap', 'hip hop']",2000,71
Case Of The Ex (Whatcha Gonna Do),Fear Of Flying,"['hip pop', 'contemporary r&b', 'urban contemporary', 'r&b']",2000,72
Forgot About Dre,2001,"['gangster rap', 'detroit hip hop', 'rap', 'west coast rap', 'g funk', 'hip hop']",2000,73
That's The Way,Burn,"['country dawn', 'contemporary country', 'country road', 'country']",2000,74
Swear It Again - Radio Edit,Westlife,['boy band'],2000,75
The Next Episode,2001,"['gangster rap', 'rap', 'west coast rap', 'g funk', 'hip hop', 'pop rap']",2000,76
From the Bottom of My Broken Heart,...Baby One More Time (Digital Deluxe Version),"['dance pop', 'pop']",2000,77
Crash and Burn,Affirmation,"['pop rock', 'dance pop', 'boy band']",2000,78
Yes!,Yes!,['country road'],2000,79
The Best Day,Latest Greatest Straitest Hits,"['contemporary country', 'country road', 'country']",2000,80
Where I Wanna Be,Where I Wanna Be,"['contemporary r&b', 'urban contemporary', 'r&b']",2000,81
How Do You Like Me Now?!,How Do You Like Me Now?!,"['contemporary country', 'classic oklahoma country', 'country', 'country road']",2000,82
My Best Friend,A Place In The Sun,"['contemporary country', 'country road', 'country']",2000,83
Broadway,Dizzy up the Girl,"['neo mellow', 'pop rock', 'permanent wave', 'post-grunge']",2000,84
What'chu Like (feat. Tyrese),Unrestricted,"['hip pop', 'new jack swing', 'urban contemporary', 'dirty south rap', 'chicago rap', 'contemporary r&b', 'r&b']",2000,85
Don't Think I'm Not - Karaoke Version in the style of Kandi,"Charthits Karaoke : The Very Best of the Year 2000, Vol. 5",['karaoke'],2000,86
"Never Again, Again",Lee Ann Womack,"['country dawn', 'contemporary country', 'country road', 'country']",2000,87
Better Off Alone,Who Needs Guitars Anyway?,"['eurodance', 'bouncy house']",2000,88
What About Now,Lonely Grill,"['contemporary country', 'country road', 'country']",2000,90
I Like It,From The Bottom To The Top,"['hip pop', 'miami hip hop', 'urban contemporary', 'dirty south rap', 'r&b']",2000,91
24/7,24/7,['contemporary r&b'],2000,92
